CERTIFICATIONID,DESCRIPTION,JUSTICE
"139,065",Olive United Methodist Church (for Leilehua High School),"2,000"
"139,065",Pacific Music Foundation (for Waipahu High School),965
"139,065",Pearl City High School PTSA,"4,000"
"139,065",Punahou School PFA,"1,424"
"139,065",Sacred Hearts Academy,"2,000"
"139,065",St. Andrew's Priory School,984
"139,065",St. Francis High School,"1,681"
"139,065",The Roosevelt Alumni Foundation,"2,000"
"139,065",University Laboratory School Booster Club,879
"139,065",Waianae High School PTA,"1,708"
"139,065",Waipahu Community Association (for Waipahu High School),"1,417"
"139,053",ELK GROVE POLICE EXPLORER PROGRAM,"10,004"
"139,035",Camelot Drug Counseling Centers,"3,394"
"139,035",Children's Aid Society Summer Camp Counselor in Training Program,"1,353"
"139,035",Cops and Kids Boxing Program,"13,395"
"139,035",Police Athletic League Summer Play Streets Program,"2,707"
"139,035",Safe Horizon Teen Dating Violence Prevention Project,"1,208"
"139,035",Seamen's Society for Children Forward Through Education Program,"5,001"
"139,035",Staten Island Mental Health Project for Academic Student Success,366
"139,035",Staten Island Youth Court,"2,804"
"139,035",Where To Turn Graffiti Removal Program,"1,430"
"139,035",YMCA Drug Counseling Services,"2,898"
"139,016","DARE Supplies $3565.67, Bike Patrol $1978.12","5,544"
"139,012",Portsmouth Drug Treatment Court,"2,900"
"138,997",2012 San Diego County Law Enforcement Explorer Academy,"7,225"
"138,989",Community Outreach,391
"138,980",McLean County Schools,525
"138,973",Effective Alternative in Reconciliation Services,"42,500"
"138,973","Police Athletic League, Inc.","15,263"
"138,914",Family Traditions - Literature for schools,"2,438"
"138,910",A Child Is Missing,600
"138,908",J P ADVERTISING,"2,368"
"138,908",MASSACHUSETTS POLICE ACCREDITATION COMMISSION,400
"138,908",NATICK AWARDS,"1,984"
"138,908",PAPER DIRECT,576
"138,908",ROBERTS COMPANY,417
"138,908",STEVEN CARL,"1,440"
"138,906",Greater Lowell Vocational School,"5,000"
"138,883",PARK FOREST POLICE ATHLETICS ACTIVITIES CENTER  FUNDS PROVIDED FOR THE RENTAL OF FACILITIES AND EQUIPMENT FOR TWO DIFFERENT PROGRAMS THAT SERVICED180 CHILDREN THROUGH A SUMMER CAMP AND ONE WRESTLING PROGRAM THAT SERVICED 40 CHILDREN.  BOTH PROGRAMS ARE  RAN THROUGH THE POLICE DEPARTMENT. ALL PROGRAMS EMPHASIZE A DRUG FREE AND NON-VIOLENT LIFESTYLE.,"3,130"
"138,870",Greater Grand Rapids Chamber of Commerce (Silent Observer),"5,000"
"138,856",National Law Enforcement Officers Memorial Fund,100
"138,731","FURNITURE, FILE CABINETS, OFFICE SUPPLIES, COMPUTER ACCESSORIES","4,800"
"138,726",Partial salary Gang Coordinator & Resource / Burlington Housing Authority,"4,500"
"138,725","CPAL, Softball League, Halloween Safety Campaign, Chamber of Commerce Anti-Drug Campaign handouts.","11,183"
"138,722","Open House, RAD Program, CPR Classes/Materials, Community Meetings, Events","5,873"
"138,654",#533 Do The Right Thing,"5,000"
"138,654",#820 Weed and Seed Through December 2011,"46,825"
"138,641","Apple Time Inc. ""Drug Free Items&quot;","1,669"
"138,603",Gun Buy Back Program,"5,000"
"138,594","AGAINST ABUSE, INC","5,000"
"138,594",COPPER BASIN YMCA,"10,000"
"138,594",FLORENCE HIGH SCHOOL,"5,000"
"138,594",FLORENCE LITTLE LEAGUE,"2,500"
"138,594",LEARNING FOR LIFE / EXPLORER POST 1875,"8,075"
"138,594",MARICOPA AMERICAN LEGION,"2,500"
"138,594",OPTIMIST INTERNATIONAL,"2,500"
"138,594",PINAL COUNCIL FOR CASA/FOSTER INC,"2,500"
"138,594",SAN TAN UNITED SPORTS ACADEMY,"2,500"
"138,594",SAN TAN VALLEY AMERICAN LEGION,"2,500"
"138,594",SAN TAN VALLEY AMERICAN LEGION,"1,500"
"138,594",SUPERIOR SUBSTANCE ABUSE COALITION,"2,500"
"138,594",TEEN CHALLENGE HOME OF HOPE,"5,000"
"138,531",Police Activities League,"21,344"
"138,459",FBINAA (FBI National Academy Associates) Arizona Chapter,"5,000"
"138,459",Fax Net 1,"6,520"
"138,459",National Law Enforcement Museum,"10,000"
"138,459",Partnership for a Drug-Free America,"5,000"
"138,455",Safe Assure Solutions,"1,722"
"138,442",Junior Police Academy,833
"138,436",DRUG EDUCATION AND AWARNESS,"1,892"
"138,425",CHILD EDUCATION BOOKS AND SUPPLIES,128
"138,425",CHILD FINGERPRINT CARDS,341
"138,425",DEPARTMENT PROMOTIONAL COINS,742
"138,425",STATIONARY,262
"138,376","Ohio Troopers Coalition - promotional items (Teddy Trooper Bear, pencils and liter bags) with drug  message","17,275"
"138,376","Public Education promotional items (key chains, decals and license plate covers)  and road signs with message to report drug activity and impaired drivers","37,494"
"138,361","Camp New Life, Phoenix Employment Ministry, Brax, LTD","4,112"
"138,340","SCOTT HIGH SCHOOL, SOCCER GOALS","3,745"
"138,340","SHERMAN HIGH SCHOOL, SOCCER GOALS","4,305"
"138,335",POLICE ACTIVITIES LEAUGE / CAPIC,"21,900"
"138,299",Ambassador Company-Books for Elementary School Children & Foremost Promotions-Halloween Safety Items given out to Children,"1,083"
"138,284",National Law Enforcement Museum,"5,000"
"138,282",2011 and 2012 salary for Bristol VA Sheriff's Office DARE officer,"82,265"
"138,277",200 Pocket Pal Calendars,793
"138,245","Charlotte Mecklenburg Crime Stoppers, Inc","4,358"
"138,245",Men Who Cares Global,"6,129"
"138,187",JUNIOR POLICE ACADEMY PROGRAM,"18,556"
"138,187",NATIONAL NIGHT OUT,"9,379"
"138,131",Child Advocacy,"10,000"
"138,131",Youth Council,"10,000"
"138,096",Lincoln/Lancaster County Child Advocacy Center,"4,586"
"138,096",Seward County Diversion Drug Accountability Program,"23,724"
"138,091",East Cost Sign & Supply,"2,250"
"138,075","Image Marketing - Giveaway items, National Night Out (Coffee Mugs)","1,486"
"138,069","Partnership for a Drug-Free NC, Inc.","10,000"
"138,058",Social Services Division/Narcotics Prevention Education,"13,571"
"137,987",150 Portable Pedestrian Safety Signs,"53,175"
"137,987",Community Safety Handbooks,"39,025"
"137,987",Elizabeth Police Block Watch Groups,"13,752"
"137,987","National Night Out, Fishing Derbies, Community Sports Events","11,742"
"137,920","Youth Summit Supplies-Facility Rental, Office Supplies (post board, pens, pencils, flash drives, bags","2,669"
"137,906",South San Francisco Unified School District - transportations costs for student speech team competitions,"1,565"
"137,903",Prescription Pill Drop Boxes,"2,369"
"137,898","Burke County, Public Schools for drug awareness and education",502
"137,883",AB Tech/Drug Court Program,"49,651"
"137,881",WCCJ/Women at Risk,"15,000"
"137,857",CrimeStoppers,"5,000"
"137,857","Rotary Club of Springfield (""Don't Meth With Us&quot; Campaign&quot;)","5,000"
"137,741",Anti-drugs and gang programs,"24,718"
"137,741",Neighborhood watch clothing/equipment,636
"137,656",Washington Court Circuit Court Intensive Drug Treatment Program,"10,000"
"137,640",National Law Enforcement Officers Museum Fund,100
"137,635",Project Lifesaver Rutland County,"1,244"
"137,595",Rachel's Challenge - An anti-drug/bullying/violence program for high school students,"2,645"
"137,594",Citizen Observer- Anonymous Tip411 text-to-tip crime prevention,"1,200"
"137,498",D.A.R.E.,578
"137,495",Supplies for drug education,"1,218"
"137,482",Arthur Powell,"9,700"
"137,482",Youth Against Violence Program,"17,065"
"137,392",Neighborhood Watch Program,893
"137,392",Safe Community Halloween Event,"3,192"
"137,282",LENOIR CITY HIGH SCHOOL,175
"137,263",DARE PROGRAM,"8,000"
"137,257","Character building books, Cherryville Elementary",150
"137,129",National Law Enforcement Museum,"10,000"
"137,002",Neighborhood Watch Program,948
"136,917",Lafourche Parish Drug Court and Lafourche Parish DARE Program,"18,530"
"136,891",BAHCC-Drug Awareness Advertisement,200
"136,891",Praire Central BBB Programs-Drug Awareness Advertisement,135
"136,891",Seneca 12th Annual Awareness Program-Drug Awareness Advertisement,165
"136,858",National Law Enforcement Museum,"1,000"
"136,856",Anti-Drug Advertisements - Anti-Drug Projects,200
"136,808",community drug expo,250
"136,767","Citizen's Police Academy, Making a Connection (Community program assisting with citizens with a language barrier, National Police Memorial Museum","7,005"
"136,707",2012 Dues to St. Louis Regional Crime Stoppers,500
"136,687",Sponsorship of St. Louis Regional CrimeStoppers Tip Hotline Services,500
"136,683",All Our Children's Advocacy Center (agency assessment),550
"136,673",DARE Program,694
"136,666",Children's Advocacy Center of Southwest Cook County,550
"136,655",Police Athletic League,450
"136,623","CRIME PREVENTION PROGRAMS -D.A.R.E. , NEIGHBORHOOD WATCH","9,496"
"136,610",Rocking with the Cops,"2,209"
"136,558",D.A.R.E PROGRAM,"4,243"
"136,539",Friendship Festival,307
"136,499",BACKSTOPPERS MEMBERSHIP,500
"136,496",New Beginnings Dignity Services,"12,312"
"136,496",Rockland Family Shelter,"1,529"
"136,494",D.A.N.G.E.R. (DrugsAlcohol Nicotine Gangs Education Resistance program),"14,092"
"136,489",ST. LOUIS REGIONAL CRIME STOPPERS,100
"136,443",Safe and Sober Prom,"1,041"
"136,350",Promotional Items from Modern Marketing,254
"136,316",promotional give-away items,"9,192"
"136,316",rental equipment - National Night Out Against Crime,495
"136,309",EMPORIA HICH SCHOOL AFTER PROM,250
"136,309",HARTFORD HIGH SCHOOL AFTER PROM,250
"136,309",NORTHERN HEIGHTS HIGH SCHOOL AFTER PROM,250
"136,309",OLPE HIGH SCHOOL AFTER PROM,250
"136,293",BICYCLE PROGRAM,"3,649"
"136,293",PUBLIC EDUCATION AWARENESS ITEMS,884
"136,288",D.A.R.E.,813
"136,141","Coalition of Neighborhood Council - Program support for non-profit organization serving at-risk youths by providing educational, job readiness training and counseling.  Payment for implementation of Social Branding Campaign to prevent youth violence and gang involvement.","9,044"
"136,141",Metro Urban Ministries - Safety Equipment for Youth Diversion Football Program,"2,642"
"136,141","Sponsor five (5) AmeriCops VISTA (Volunteers in Service to America) members who will provide support to reentry efforts that include development of a comprehensive prison re-entry plan that will link low level non-violent drug offenders to treatment and services prior to and upon release from prison, with the intention of reducing recidivism in San Diego County.","21,115"
"136,141","V I P Mentors - Program support for non-profit organization serving at-risk youths by providing educational, job readiness training and counseling.  Payment for implementation of Social Branding Campaign to prevent youth violence and gang involvement.","4,353"
"135,998",RDJ Specialties - drug awareness materials,"13,051"
"135,944",D.A.R.E.,"1,397"
"135,911",WALTON COUNTY BOYS AND GIRLS CLUB,"1,500"
"135,817",Red Ribbon Week Supplies,704
"135,699",Creative Product Sourcing (DARE Graduation T-Shirts),"2,002"
"135,699",Grassano's (DARE Graduation),296
"135,699",Safety Education Alliance (Child & Senior Safety Education Materials),"1,635"
"135,457",Metro Youth Classic,"2,500"
"135,414",DARE,"11,546"
"135,358",Drug Education Program Material,"1,765"
"135,335",Every 15 minutes (Drugged Driving High School program),"2,009"
"135,307",Drug Abuse Resistance Education (D.A.R.E.),300
"135,288","Cook County School Board/Drug Awareness materials, Dare Graduation T-Shirts","5,271"
"135,288",Red Ribbon Week,266
"135,269",Red Ribbon Supplies,674
"135,262",Foundations for Franklin County,"1,250"
"135,165",COOR,36
"135,154",Anti-Violence Step Jam Event,"1,780"
"135,064",Drug Education & Awareness Program Supplies (DARE),"3,474"
"135,047",St. James School System Red Ribbon Campaign,"1,200"
"135,023",PORTAGE COUNTY DARE PROGRAM,"2,085"
"135,007","INDIANAPOLIS TEN POINT COALITION, INC","50,000"
"135,007",PEACE LEARNING CENTER,"24,000"
"134,991",WOMEN IN DISTRESS,"1,000"
"134,956",Dreamland Signs - Police Department banner for displays and parade,365
"134,956","Olis Signs - Neighborhood Watch - For ""meeting&quot; signs",235
"134,956",Positive promotions - Key chains & coloring books,570
"134,956",Red Wood Biotech,776
"134,956",Sam's Club - Neighborhood Watch - Cookout for registration & organization,178
"134,956",Sirens for Cities - To repair tornado sirens,299
"134,956",Sun Trust Bank,282
"134,909",Special Programs - WTC Steel Beam Patriot Station Monument,"1,050"
"134,903",Professional Services Contract - Community Mediation Co/DTC Communications Inc.,"7,009"
"134,886",Crime Stoppers of Puget Sound,"3,611"
"134,879",Train School Resource Police Officers and the community in various restorative justice practices.,"1,000"
"134,877",WHPD Community Awareness,"1,255"
"134,865",National Sexual Violence Resource Center - 2011 Sexual Assault Awareness Month,185
"134,857",Community Intramural Basketball League,"4,602"
"134,857",Summer Nights Youth Program,"1,003"
"134,857",Youth Mentoring Program - Police Athletic League,"3,000"
"134,830","Boys and Girls Club of Rochester, INC","18,448"
"134,825",Operational expenses for our Dare program including T-shirts and program costs.,"1,672"
"134,811",Brookhaven Youth Court,799
"134,811",Child Abuse Prevention Services,"26,253"
"134,811",Child Advocacy Center,"1,497"
"134,811",Cleary School for the Deaf,"10,000"
"134,811",Council for Unity,"20,000"
"134,811",Generation Unleashed,"3,220"
"134,811",Hofstra University,"2,497"
"134,811",Hope House Ministries,"25,172"
"134,811",Mothers Against Drunk Driving,"44,745"
"134,811",Parents for Megan's Law,"15,075"
"134,811",Suffolk County Coalition Against Domestic Violence,"10,000"
